,BST,LLRBT,BF
156,9.540992323309183e-06,4.016701132059097e-05,4.141699173487723e-05
157,1.025001984089613e-05,3.7874997360631824e-05,2.5957997422665358e-05
158,1.0416988516226411e-05,4.037501639686525e-05,2.562499139457941e-05
159,1.1124997399747372e-05,4.0207989513874054e-05,2.4249980924651027e-05
160,9.707990102469921e-06,4.604100831784308e-05,2.633300027810037e-05
161,8.167000487446785e-06,3.741701948456466e-05,4.979199729859829e-05
162,8.792005246505141e-06,3.570900298655033e-05,2.791601582430303e-05
163,8.37500556372106e-06,3.73339862562716e-05,4.9291993491351604e-05
164,8.208997314795852e-06,3.920900053344667e-05,2.5500019546598196e-05
165,1.2375006917864084e-05,4.675000673159957e-05,2.7582980692386627e-05
166,6.749993190169334e-06,3.333299537189305e-05,2.795798354782164e-05
167,1.1958007235080004e-05,3.708299482241273e-05,2.8416980057954788e-05
168,6.082991603761911e-06,3.600001218728721e-05,4.0624989196658134e-05
169,8.707982487976551e-06,4.037501639686525e-05,2.5416986318305135e-05
170,1.1124997399747372e-05,3.929098602384329e-05,2.649999805726111e-05
171,9.917013812810183e-06,3.9875012589618564e-05,2.508299075998366e-05
172,1.0042014764621854e-05,3.99590062443167e-05,2.4416978703811765e-05
173,8.750008419156075e-06,3.795800148509443e-05,2.608299837447703e-05
174,8.25000461190939e-06,3.504200140014291e-05,2.4749984731897712e-05
175,1.2040982255712152e-05,4.500002251006663e-05,2.845900598913431e-05
176,8.25000461190939e-06,5.179198342375457e-05,2.416700590401888e-05
177,9.334005881100893e-06,3.691599704325199e-05,2.5374989490956068e-05
178,5.833979230374098e-06,3.654201282188296e-05,2.4125009076669812e-05
179,1.025001984089613e-05,3.804199513979256e-05,2.8834008844569325e-05
180,1.0750023648142815e-05,3.420800203457475e-05,2.5208020815625787e-05
181,9.58298915065825e-06,4.233297659084201e-05,2.504198346287012e-05
182,1.0916002793237567e-05,3.7999998312443495e-05,2.912498894147575e-05
183,1.0333984391763806e-05,3.6999990697950125e-05,2.704199869185686e-05
184,7.374997949227691e-06,3.908298094756901e-05,2.7999980375170708e-05
185,7.374997949227691e-06,4.3625012040138245e-05,2.475001383572817e-05
186,1.3250013580545783e-05,4.7833018470555544e-05,2.8082984499633312e-05
187,1.016599708236754e-05,4.533299943432212e-05,2.5832996470853686e-05
188,1.191598130390048e-05,3.125000512227416e-05,2.5333021767437458e-05
189,1.09999964479357e-05,3.966601798310876e-05,2.866698196157813e-05
190,9.750016033649445e-06,4.166699363850057e-05,2.5582994567230344e-05
191,1.0791991371661425e-05,4.283399903215468e-05,2.649999805726111e-05
192,6.665999535471201e-06,4.15419926866889e-05,2.4707987904548645e-05
193,6.874994141981006e-06,4.6083994675427675e-05,2.908398164436221e-05
194,7.209018804132938e-06,3.2750016544014215e-05,2.6708003133535385e-05
195,1.1708005331456661e-05,4.541600355878472e-05,2.591699012555182e-05
196,1.1833006283268332e-05,4.4666987378150225e-05,2.5042012566700578e-05
197,6.959016900509596e-06,2.9207993065938354e-05,2.441700780764222e-05
198,8.292001439258456e-06,5.0708011258393526e-05,2.679100725799799e-05
199,6.791990017518401e-06,4.2458006646484137e-05,2.5250017642974854e-05
200,7.667025784030557e-06,3.950000973418355e-05,2.6541994884610176e-05
201,1.0292016668245196e-05,4.195800283923745e-05,2.933401265181601e-05
202,7.791997632011771e-06,2.6124995201826096e-05,2.641702303662896e-05
203,9.083014447242022e-06,3.529200330376625e-05,2.704199869185686e-05
204,1.058299676515162e-05,4.0041981264948845e-05,2.591699012555182e-05
205,1.0415998985990882e-05,4.141699173487723e-05,2.5042012566700578e-05
206,1.2791977496817708e-05,4.358298610895872e-05,2.6708003133535385e-05
207,7.875001756474376e-06,4.808299127034843e-05,2.3957982193678617e-05
208,1.0040996130555868e-05,3.7874997360631824e-05,2.8582988306879997e-05
209,1.0249990737065673e-05,3.3083982998505235e-05,2.3667002096772194e-05
210,9.66701190918684e-06,3.7416000850498676e-05,2.579099964350462e-05
211,1.7416983610019088e-05,4.8291985876858234e-05,2.8084003133699298e-05
212,1.541702658869326e-05,4.3791980715468526e-05,2.500001573935151e-05
213,1.0832998668774962e-05,4.020900814794004e-05,2.4374981876462698e-05
214,1.029198756441474e-05,3.7582998629659414e-05,2.491698251105845e-05
215,9.167008101940155e-06,4.199999966658652e-05,2.5291985366493464e-05
216,8.542003342881799e-06,4.3790991185233e-05,2.4042004952207208e-05
217,9.749986929818988e-06,3.679099609144032e-05,2.5375018594786525e-05
218,1.0249990737065673e-05,4.570800228975713e-05,2.5165994884446263e-05
219,8.125003660097718e-06,3.0625000363215804e-05,2.4999986635521054e-05
220,8.125003660097718e-06,3.883300814777613e-05,2.5500019546598196e-05
221,1.0457995813339949e-05,4.529199213720858e-05,2.475001383572817e-05
222,1.191598130390048e-05,3.8541998947039247e-05,2.4707987904548645e-05
223,1.1167023330926895e-05,4.600000102072954e-05,2.520898124203086e-05
224,7.624999852851033e-06,3.5500008380040526e-05,2.479198155924678e-05
225,1.087499549612403e-05,4.5082997530698776e-05,2.4958018912002444e-05
226,9.542010957375169e-06,3.987498348578811e-05,2.416700590401888e-05
227,8.957984391599894e-06,2.7041009161621332e-05,2.4582986952736974e-05
228,1.2417003745213151e-05,5.358300404623151e-05,2.5541987270116806e-05
229,8.166010957211256e-06,2.8999987989664078e-05,2.5125016691163182e-05
230,6.583984941244125e-06,3.6209006793797016e-05,2.5416025891900063e-05
231,1.3542012311518192e-05,3.6874989746138453e-05,2.4665991077199578e-05
232,1.2290984159335494e-05,4.366700886748731e-05,2.4957989808171988e-05
233,1.1832977179437876e-05,3.741701948456466e-05,2.5667017325758934e-05
234,1.2457981938496232e-05,4.4957996578887105e-05,2.458301605656743e-05
235,1.2959004379808903e-05,3.7874997360631824e-05,2.862501423805952e-05
236,7.541995728388429e-06,3.783300053328276e-05,2.824998227879405e-05
237,1.316601992584765e-05,3.3791991882026196e-05,2.6249996153637767e-05
238,6.457994459196925e-06,4.991702735424042e-05,2.591600059531629e-05
239,1.2790987966582179e-05,4.3334002839401364e-05,2.5832996470853686e-05
240,1.025001984089613e-05,3.058300353586674e-05,2.5792018277570605e-05
241,7.458991603925824e-06,3.545900108292699e-05,2.8916983865201473e-05
242,6.916990969330072e-06,3.7833990063518286e-05,2.4416978703811765e-05
243,7.2499969974160194e-06,4.199999966658652e-05,2.479198155924678e-05
244,1.1290976544842124e-05,4.874999285675585e-05,2.833400503732264e-05
245,8.124974556267262e-06,3.691698657348752e-05,2.4208013201132417e-05
246,1.0540999937802553e-05,4.254200030118227e-05,2.545802271924913e-05
247,8.458999218419194e-06,3.5083998227491975e-05,2.4083012249320745e-05
248,1.1708005331456661e-05,4.416698357090354e-05,2.4874985683709383e-05
249,7.124996045604348e-06,4.962499951943755e-05,2.4958979338407516e-05
250,8.208007784560323e-06,4.187499871477485e-05,2.433397457934916e-05
251,6.209011189639568e-06,4.679098492488265e-05,2.5124987587332726e-05
252,1.1750002158805728e-05,4.358400474302471e-05,2.3667002096772194e-05
253,1.0292016668245196e-05,4.049998824484646e-05,2.8167007258161902e-05
254,1.3542012311518192e-05,4.387498483993113e-05,2.5541987270116806e-05
255,1.1916999937966466e-05,3.962501068599522e-05,2.8999987989664078e-05
256,9.707990102469921e-06,4.8250018153339624e-05,2.7000001864507794e-05
257,1.1791009455919266e-05,4.3625012040138245e-05,2.5667017325758934e-05
258,9.625015081837773e-06,3.6291981814429164e-05,2.508299075998366e-05
259,1.2375006917864084e-05,3.512500552460551e-05,2.4749984731897712e-05
260,9.540992323309183e-06,4.400001489557326e-05,2.7292000595480204e-05
261,7.750000804662704e-06,5.366600817069411e-05,2.462498378008604e-05
262,6.125017534941435e-06,3.704099799506366e-05,2.4708977434784174e-05
263,1.1750002158805728e-05,3.837500116787851e-05,2.7790985768660903e-05
264,1.1333992006257176e-05,4.158299998380244e-05,2.5416986318305135e-05
265,8.792005246505141e-06,4.154100315645337e-05,2.6749999960884452e-05
266,1.18750031106174e-05,4.120901576243341e-05,2.5416986318305135e-05
267,1.0542018571868539e-05,3.7874997360631824e-05,2.6124995201826096e-05
268,1.0499992640689015e-05,4.887502291239798e-05,2.854099147953093e-05
